customer_id,tenure_months,monthly_charges,contract,internet_service,payment_method,support_calls,senior_citizen,churn
C00000,52,85.74,One year,No,Bank transfer,0,0,0
C00001,15,67.23,Month-to-month,Fiber optic,Credit card,2,0,1
C00002,61,108.02,Month-to-month,Fiber optic,Credit card,0,1,1
C00003,21,41.57,Two year,DSL,Bank transfer,1,1,1
C00004,24,87.78,One year,Fiber optic,Electronic check,1,0,0
C00005,3,80.78,One year,Fiber optic,Credit card,2,0,0
C00006,22,49.53,One year,Fiber optic,Bank transfer,1,1,1
C00007,53,33.66,One year,Fiber optic,Mailed check,1,0,0
C00008,2,,Two year,DSL,Electronic check,2,1,1
C00009,30,93.86,Month-to-month,DSL,Mailed check,0,0,1
C00010,38,51.56,One year,No,Electronic check,1,0,0
C00011,2,,Two year,No,Credit card,0,0,0
C00012,64,59.51,Month-to-month,DSL,Mailed check,0,0,0
C00013,60,91.32,One year,Fiber optic,Mailed check,0,0,0
C00014,21,39.92,Month-to-month,DSL,Bank transfer,2,0,1
C00015,33,109.02,Two year,DSL,Credit card,4,0,0
C00016,58,48.74,Month-to-month,DSL,Credit card,0,0,0
C00017,22,,One year,DSL,Electronic check,2,0,0
C00018,49,25.81,Month-to-month,Fiber optic,Bank transfer,2,0,0
C00019,59,31.15,One year,Fiber optic,Bank transfer,0,0,0
C00020,42,71.59,Month-to-month,DSL,Electronic check,0,0,0
C00021,60,46.76,Month-to-month,DSL,Mailed check,1,0,1
C00022,15,103.55,Month-to-month,No,Electronic check,3,0,1
C00023,62,21.47,Two year,DSL,Electronic check,1,0,0
C00024,62,57.91,Month-to-month,Fiber optic,Electronic check,2,0,0
C00025,47,53.73,Month-to-month,DSL,Bank transfer,0,1,0
C00026,62,21.93,One year,Fiber optic,Electronic check,1,0,0
C00027,51,32.44,Month-to-month,DSL,Electronic check,1,0,0
C00028,55,61.36,Two year,DSL,Electronic check,2,0,0
C00029,64,69.29,Month-to-month,DSL,Credit card,3,0,0
C00030,3,60.43,One year,DSL,Mailed check,1,0,0
C00031,51,73.09,Month-to-month,Fiber optic,Mailed check,1,1,0
C00032,7,79.51,Month-to-month,Fiber optic,Mailed check,0,0,1
C00033,21,20.99,One year,DSL,Mailed check,0,0,0
C00034,39,66.41,One year,DSL,Bank transfer,0,1,0
C00035,18,116.35,One year,Fiber optic,Bank transfer,2,0,0
C00036,4,71.9,Month-to-month,Fiber optic,Electronic check,2,0,1
C00037,60,87.75,Month-to-month,No,Bank transfer,3,0,0
C00038,14,51.19,Month-to-month,Fiber optic,Mailed check,0,0,1
C00039,9,97.4,Two year,Fiber optic,Credit card,0,0,0
C00040,53,97.29,Month-to-month,Fiber optic,Electronic check,3,0,1
C00041,2,72.13,Month-to-month,No,Electronic check,0,0,0
C00042,60,117.6,Month-to-month,No,Mailed check,1,0,1
C00043,71,32.56,One year,DSL,Mailed check,2,1,1
C00044,44,21.69,Month-to-month,DSL,Mailed check,0,0,0
C00045,8,97.02,Two year,DSL,Bank transfer,0,0,1
C00046,47,100.72,Month-to-month,Fiber optic,Electronic check,0,0,0
C00047,35,32.02,Two year,Fiber optic,Mailed check,0,0,0
C00048,36,46.56,Month-to-month,Fiber optic,Credit card,1,0,0
C00049,50,21.76,One year,DSL,Electronic check,0,0,0
C00050,4,,Two year,Fiber optic,Electronic check,1,0,0
C00051,2,,Month-to-month,No,Bank transfer,2,0,1
C00052,6,71.8,Two year,DSL,Electronic check,1,0,0
